Sample,Sim_Id,AgeBin,Gender,Prevalence,Prevalence-Provincial-all--Beta-alpha,Prevalence-Provincial-all--Beta-beta,Province,Result,Year,weight
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,19.4,11814.396538880941,-11203.458572959244,Lusaka,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,6.809329300000001,1106.3673413346016,-942.0360319449087,Muchinga,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,6.9,5007.762454530294,-4280.144707496918,Muchinga,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,10.0,1021.0077634618999,-917.00698711571,Northern,0.13625866050808313,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,8.2724281,1280.6087032318217,-1123.9251341800916,Northern,0.1231060606060606,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,10.4,6288.488175100569,-5681.922004417821,Northern,0.10194902548725636,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,20.2,1041.4077634619014,-987.9024286370546,Southern,0.27459016393442626,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,15.768985500000001,6045.440500263482,-5660.128555416841,Southern,0.20272572402044287,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,14.7,8213.247955076164,-7652.5916316015955,Southern,0.14423076923076922,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.9,1034.807763461902,-971.635706452322,Western,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,16.0430246,3593.5978876249474,-3367.6626897929286,Western,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Female,17.5,7539.259158169162,-7106.501491988067,Western,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.4,1027.807763461902,-949.1803184274318,Central,0.1718146718146718,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.965129800000001,3492.099683691275,-3220.83128934853,Central,0.13776337115072934,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.8,5580.329706497115,-5009.010348691287,Central,0.1077127659574468,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,17.3,1035.6077634619016,-973.803846498786,Copperbelt,0.16815476190476192,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.3305845,3562.899514255689,-3272.032468718984,Copperbelt,0.15085158150851585,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,16.2,8070.176097978713,-7570.078807980027,Copperbelt,0.13223938223938225,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,11.0,1023.0077634619016,-928.097966783547,Eastern,0.24907749077490776,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.1175849,2721.641866930488,-2421.246853692883,Eastern,0.25283630470016205,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,7.7,6552.681559192647,-5699.813824232563,Eastern,0.2204030226700252,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,8.6,1018.2077634619019,-897.9277909663319,Luapula,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,15.316892000000001,5486.88497558957,-5126.725828447345,Luapula,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,9.7,7090.02797117308,-6357.200345278948,Luapula,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,18.7,28827.994652668098,-27284.444136482638,Lusaka,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,19.0665148,8661.392161189533,-8205.172171221071,Lusaka,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.0,8125.398280652953,-7498.444566756572,Lusaka,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,3.5900894,1008.1879422619023,-725.6411842168513,Muchinga,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,5.8,2940.7390236929364,-2431.887467883809,Muchinga,0.0,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,6.2,1013.407763461904,-848.116188709984,Northern,0.125,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,7.6718239,1380.0925529793294,-1198.3318375412014,Northern,0.11812627291242365,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,10.6,5577.477582593707,-5049.394791782979,Northern,0.09379968203497616,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,14.6,2683.898589358238,-2498.1384120049343,Southern,0.18281535648994515,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.21220145,3313.1035896088456,-3060.4183724523327,Southern,0.13343799058084774,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,11.0,8263.173647500653,-7510.066952273321,Southern,0.0916030534351145,2014.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,8.3,1017.6077634619018,-893.1249003942028,Western,0.0,2002.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,13.729602900000001,3368.2383219029543,-3120.9844462862784,Western,0.0,2007.5,1.0
91,244f863d-f620-e911-a2be-c4346bcb1554,[15:50),Male,12.5,7025.601869074862,-6461.633719548874,Western,0.0,2014.5,1.0
22,11ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,0.0,1.0,62.524271634637,Central,0.0,2002.5,1.0
22,11ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1462537,6735.532326189514,-6429.43880240813,Central,0.0,2007.5,1.0
22,11ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,14.8,12999.529815923874,-12119.250774307397,Central,0.0,2014.5,1.0
22,11ec612b-f620-e911-a2be-c4346bcb1554,[15:50),Female,22.1,1045.2077634619018,-995.9585433957524,Copperbelt,0.10947930574098798,2002.5,1.0
